convN,alpha,discount,epsilon,fedP,syncBackups,stochasticPolicy,envSeed,trial,sims,endScoreStoch,comment,avgRew,episodes,endScoreBell,endScoreRand,aggs,backups,endScoreStochBell,endScore,finalDiff,threshDiff,threshRew,threshEp,threshBack
10,0.2,0.6,1.0,2,10,True,3702,1,10100000.0,14481.474348069534,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,988938.0,10100000.0,14502.426667191019,14504.672698675688,5.680356757375436,5.680356757375436,146.48254600200215,99999,10099899
10,0.01,0.6,0.0,2,1,True,3703,2,40400.0,-751.1629197443518,constant distance,-9.486615224076717,400.0,2426.075179067839,-4321.588167301125,40337.0,40400.0,-777.1399939501808,2090.5198741561867,0.1980140563026293,0.0899459727207491,-8.389366220501001,70,7070
10,0.1,0.6,1.0,8,10,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,1008885.0,10100000.0,14500.250632066873,14504.672698675688,5.691809063687246,5.691809063687246,146.48254600200215,99999,10099899
10,1.0,0.6,1.0,2,100,True,3703,2,30300.0,-733.64168026582,constant distance,-44.17218784075015,300.0,2426.075179067839,-4213.248463512786,301.0,30300.0,-686.2530964721718,-538.4237561500789,3.7893411267074866,3.4179259694671136,-44.17218784075015,299,30199
10,0.01,0.6,0.0,4,10000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,1010.0,10100000.0,14498.75327774376,14504.672698675688,5.785009293971788,5.785009293971788,146.48254600200215,99999,10099899
10,0.2,0.6,0.0,2,100,True,3702,1,10100000.0,14473.03955161294,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,100963.0,10100000.0,14502.836003952058,14504.672698675688,5.637528186894565,5.637528186894566,146.48254600200215,99999,10099899
10,0.5,0.6,1.0,2,10000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14499.162614504798,1010.0,10100000.0,14502.426667191019,14504.672698675688,5.325638292790237,5.325638292790237,146.48254600200215,99999,10099899
10,0.2,0.6,0.0,4,10,True,3701,0,40400.0,1952.4221956659796,constant distance,24.902796588610258,400.0,3913.432567588432,1234.4399891202272,4025.0,40400.0,2249.958557193918,3898.6047529358507,0.4172581122728268,0.5109298701213278,24.902796588610258,399,40299
10,1.0,0.6,0.0,4,10,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14499.162614504798,1005600.0,10100000.0,14502.836003952058,14504.672698675688,5.324858368554159,5.324858368554159,146.48254600200215,99999,10099899
10,0.5,0.6,1.0,4,1,True,3701,0,30300.0,2302.4902897722513,constant distance,9.462976024625275,300.0,3913.432567588432,1304.748486778987,30279.0,30300.0,2081.585445316995,3898.6047529358507,0.6234565618490968,0.5149635117109118,9.462976024625275,299,30199
10,0.01,0.6,0.0,16,1000,True,3701,0,40400.0,2108.8997201354455,constant distance,22.347221073796042,400.0,3913.432567588432,1391.1358321650628,40.0,40400.0,1991.8418764118874,3898.6047529358507,0.08919171363750712,0.08901207606296187,23.12459269834504,160,16160
10,0.2,0.6,0.0,8,100,True,3701,0,30300.0,2080.9672207050376,constant distance,22.952013714780794,300.0,3913.432567588432,1219.0542977555765,308.0,30300.0,2208.050122062803,3898.6047529358507,0.5677550803660134,0.24504246125476659,22.952013714780794,299,30199
10,0.2,0.6,1.0,1,-1,True,3701,0,40400.0,2353.7602221410334,constant distance,10.307185993535152,400.0,3956.0167532177406,1211.4692698142342,0,40400.0,2301.360056656289,3885.5013981384413,0.7947626560046697,0.6834794833158944,10.307185993535152,399,40299
10,1.0,0.6,1.0,2,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,100797.0,10100000.0,14500.250632066873,14504.672698675688,5.480309304969872,5.480309304969872,146.48254600200215,99999,10099899
10,0.5,0.6,1.0,2,1000,True,3701,0,30300.0,1910.681700788174,constant distance,12.403624918846862,300.0,3913.432567588432,1129.4568105628866,30.0,30300.0,1997.757518575685,3297.544668829317,1.5612912096580323,1.541206603354997,12.403624918846862,299,30199
10,0.01,0.6,0.0,16,100,True,3703,2,30300.0,-997.9523384243814,constant distance,-9.536780568848501,300.0,2426.075179067839,-4155.6236527215215,300.0,30300.0,-759.5276270571954,2424.6248474958406,0.07360001246414251,0.05499319217187823,-7.727438780900208,90,9090
10,0.2,0.6,0.0,16,1000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,10100.0,10100000.0,14502.426667191019,14504.672698675688,5.668252190055314,5.668252190055314,146.48254600200215,99999,10099899
10,0.2,0.6,1.0,8,1,True,3701,0,30300.0,2049.066263952761,constant distance,12.717783176224154,300.0,3913.432567588432,1135.3606561281656,29931.0,30300.0,2047.4446083308087,3898.6047529358507,0.3247050077711196,0.2621275798190467,12.717783176224154,299,30199
10,1.0,0.6,0.0,4,1000,True,3702,1,10100000.0,14500.999309228428,max episodes,146.48254600200215,100000.0,14502.836003952058,14497.325919781168,10100.0,10100000.0,14502.426667191019,14504.672698675688,5.125280107141471,5.125280107141471,146.48254600200215,99999,10099899
10,1.0,0.6,1.0,2,1,True,3702,1,10100000.0,14493.652530333908,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,10086908.0,10100000.0,14502.836003952058,14504.672698675688,5.477107218804555,5.477107218804555,146.48254600200215,99999,10099899
10,0.01,0.6,0.0,2,1,True,3702,1,10100000.0,14483.720379554203,max episodes,146.48254600200215,100000.0,14502.836003952058,14493.652530333908,10089377.0,10100000.0,14502.426667191019,14504.672698675688,5.7853929879736485,5.785392987973648,146.48254600200215,99999,10099899
10,0.01,0.6,0.0,8,1000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14483.720379554203,10100.0,10100000.0,14502.836003952058,14504.672698675688,5.783554083652495,5.783554083652494,146.48254600200215,99999,10099899
10,0.5,0.6,0.0,2,10000,True,3701,0,40400.0,1796.7679724733616,constant distance,21.952696506995206,400.0,3913.432567588432,1305.386569063979,4.0,40400.0,2095.216040224093,3898.6047529358507,1.4544482768272011,1.1957438515989876,21.952696506995206,399,40299
10,1.0,0.6,1.0,2,1000,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14499.162614504798,10100.0,10100000.0,14502.836003952058,14504.672698675688,4.533682982600952,4.533682982600952,146.48254600200215,99999,10099899
10,1.0,0.6,1.0,4,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,100876.0,10100000.0,14502.426667191019,14504.672698675688,5.1873270608717466,5.1873270608717466,146.48254600200215,99999,10099899
10,0.01,0.6,0.0,2,10000,True,3701,0,40400.0,2105.540397052934,constant distance,23.24308295013939,400.0,3913.432567588432,1258.1931028405827,4.0,40400.0,2095.890877211999,3898.6047529358507,0.1570872813522674,0.09011704249483704,24.101591133942414,200,20200
10,0.1,0.6,1.0,8,10,True,3703,2,30300.0,-597.503895600656,constant distance,-42.67544101116342,300.0,2426.075179067839,-4189.232249116517,2968.0,30300.0,-862.3009035839577,2424.6248474958406,0.31708097331402635,0.43497398503770357,-42.67544101116342,299,30199
10,0.01,0.6,1.0,8,1,True,3702,1,10100000.0,14491.067158448723,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,10082754.0,10100000.0,14495.419228697017,14504.672698675688,5.783183779502869,5.783183779502868,146.48254600200215,99999,10099899
10,1.0,0.6,0.0,4,1,True,3703,2,30300.0,-984.8119264566465,constant distance,-6.795482324342439,300.0,2426.075179067839,-4209.009620324214,29480.0,30300.0,-745.2018359223482,2090.5198741561867,1.5678882895039234,1.4845087801410939,-6.795482324342439,299,30199
10,0.1,0.6,0.0,2,1,True,3703,2,30300.0,-210.44455651829583,constant distance,-9.949177668392885,300.0,2426.075179067839,-4388.860645824403,30188.0,30300.0,-845.8970934147248,2090.5198741561867,0.692097298187584,0.7571856015010447,-9.949177668392885,299,30199
10,0.5,0.6,1.0,16,10,True,3703,2,30300.0,-633.9779573986419,constant distance,-39.293508145330364,300.0,2426.075179067839,-4238.904982063062,3001.0,30300.0,-886.4175418362241,2090.5198741561867,0.553758217481523,0.6413914509017781,-39.293508145330364,299,30199
10,1.0,0.6,0.0,16,1000,True,3703,2,30300.0,-1593.5648513763203,constant distance,0.35181861588531926,300.0,2426.075179067839,-4172.360811809562,30.0,30300.0,-822.267054691908,2424.6248474958406,3.621437292331487,2.401227204445018,0.35181861588531926,299,30199
10,0.01,0.6,0.0,8,100,True,3703,2,30300.0,-907.9885986520577,constant distance,-6.418908962761971,300.0,2426.075179067839,-4290.154358382373,302.0,30300.0,-740.9087975966935,2424.6248474958406,0.09773299218617251,0.09980824980337756,-0.7653111517454574,70,7070
10,0.5,0.6,1.0,2,10,True,3701,0,40400.0,2585.649375423571,constant distance,9.841410906624882,400.0,3913.432567588432,1195.9287997021506,4033.0,40400.0,2177.4179628259526,4074.9011861201907,1.035575242034673,2.307905944121092,9.841410906624882,399,40299
10,0.1,0.6,1.0,8,1,True,3703,2,30300.0,-784.7987577397246,constant distance,-43.63998819242739,300.0,2426.075179067839,-4310.349750380967,30225.0,30300.0,-801.3965898078603,2424.6248474958406,0.28752963606186455,0.26875789554792945,-43.63998819242739,299,30199
10,0.5,0.6,0.0,16,1000,True,3701,0,30300.0,1846.7751555734324,constant distance,20.504766000638874,300.0,3913.432567588432,1092.8449487052967,30.0,30300.0,2181.824063629588,3898.6047529358507,1.3493656732154755,1.5998619372487406,20.504766000638874,299,30199
10,0.01,0.6,0.0,16,1,True,3702,1,9047075.0,14471.20285688931,timeout,146.48254600200215,89575.0,14502.836003952058,14504.672698675688,9027677.0,9047075.0,14502.836003952058,14504.672698675688,5.781986864345134,5.781986864345133,146.48254600200215,89574,9046974
10,0.01,0.6,1.0,16,1,True,3702,1,9679436.0,14477.122277821238,timeout,146.48254600200215,95836.0,14502.836003952058,14499.162614504798,9677762.0,9679436.0,14502.426667191019,14504.672698675688,5.783492061560212,5.783492061560212,146.48254600200215,95835,9679335
10,0.5,0.6,0.0,4,100,True,3701,0,30300.0,2134.464022060223,constant distance,23.22468251584669,300.0,3913.432567588432,1182.408711526605,304.0,30300.0,2159.1959209974125,3898.6047529358507,1.312432697882301,0.7117098412258712,23.22468251584669,299,30199
10,0.2,0.6,0.0,16,10,True,3701,0,30300.0,2140.9857567937825,constant distance,24.12613622778986,300.0,3913.432567588432,1243.5626042951644,2982.0,30300.0,2213.551563683422,3898.6047529358507,0.19094351218627956,0.09840952869517569,23.772858249694515,130,13130
10,1.0,0.6,0.0,16,10000,True,3703,2,30300.0,-1666.3855211941511,constant distance,-2.5944837295500625,300.0,2426.075179067839,-4374.495148993118,3.0,30300.0,-657.8871499032381,-192.89933420617155,3.485530863242778,3.7591434048943424,-2.5944837295500625,299,30199
10,0.1,0.6,1.0,4,10000,True,3701,0,30300.0,2166.3725079199053,constant distance,15.470733738697172,300.0,3913.432567588432,1300.1846579228109,3.0,30300.0,2255.6910392931113,3898.6047529358507,0.5440360136452719,0.39614959406140243,15.470733738697172,299,30199
10,0.5,0.6,1.0,4,10,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,1009919.0,10100000.0,14502.836003952058,14504.672698675688,5.42592222227632,5.42592222227632,146.48254600200215,99999,10099899
10,0.5,0.6,0.0,4,100,True,3702,1,10100000.0,14502.836003952058,max episodes,146.48254600200215,100000.0,14502.836003952058,14504.672698675688,99643.0,10100000.0,14498.004600582204,14504.672698675688,5.380285966047511,5.380285966047511,146.48254600200215,99999,10099899
10,1.0,0.6,1.0,16,1,True,3702,1,9228370.0,14500.999309228428,timeout,146.48254600200215,91370.0,14502.836003952058,14482.632361992128,9234031.0,9228370.0,14499.431958544794,14504.672698675688,5.088842810874746,5.088842810874746,146.48254600200215,91369,9228269
10,0.5,0.6,1.0,4,1000,True,3703,2,30300.0,-609.1828539061283,constant distance,-45.51774444304579,300.0,2426.075179067839,-4245.163323418035,30.0,30300.0,-880.9734284395349,-538.4237561500789,2.438264662479482,2.862042093198068,-45.51774444304579,299,30199
10,1.0,0.6,1.0,4,100,True,3703,2,30300.0,-173.00208140305068,constant distance,-43.968147498933305,300.0,2426.075179067839,-4195.3634908649965,303.0,30300.0,-761.6111946344805,-192.89933420617155,3.718579163551458,1.8201241510831039,-43.968147498933305,299,30199
10,0.01,0.6,0.0,8,100,True,3702,1,10100000.0,14500.999309228428,max episodes,146.48254600200215,100000.0,14502.836003952058,14502.836003952058,100934.0,10100000.0,14500.929312867907,14504.672698675688,5.778242535617901,5.778242535617901,146.48254600200215,99999,10099899
